apvExpLabId,apvCodApli,apvCodEmpresa,apvCodCargo
2245,231713,0,181
4979,233108,2,3315
8459,230821,8,612
8682,231284,84,2894
9383,231866,128,0
9589,231561,144,1134
9805,232228,151,551
10884,233400,180,1858
10994,233936,183,266
11648,243070,214,164
11681,243132,221,166
11886,243320,225,3520
11948,243372,233,3668
11951,243373,240,3230
11970,243388,252,3247
12025,243477,271,2841
12039,243492,272,269
12098,243560,273,3733
12130,243596,278,2699
12146,243607,283,272
12183,243629,324,71
12216,243654,333,2831
12233,243668,338,13
12292,243702,342,142
12309,243717,350,401
12326,243747,369,447
12414,243814,370,354
12416,243815,384,4972
12381,243783,387,3026
12531,243905,392,23
12536,243908,394,2112
12554,243909,395,2881
12558,243911,397,NULL
12595,243930,406,3432
12605,243939,411,3532
12612,243946,431,2146
12629,243956,438,255
12661,243968,439,4064
12698,243989,453,4563
12705,243991,456,3614
12758,244013,465,509
12788,244029,469,2362
12789,244033,478,3715
12790,244035,495,352
12792,244036,505,4137
12808,244040,534,2270
12814,244044,577,289
12819,244048,582,148
12848,244058,584,2870
12849,244060,589,448
12850,244061,619,94
12854,244064,625,4380
12875,244076,637,3025
12885,244087,661,2266
12900,244096,699,2993
12914,244103,706,4357
12915,244104,714,2486
12917,244105,725,3328
12919,244107,732,2153
12946,244124,737,4614
12950,244126,760,3783
12954,244128,763,3656
12985,241299,767,286
12987,244141,776,1706
12990,244144,795,539
12993,244145,803,519
13002,244146,804,4552
13006,244147,843,1785
13008,244148,844,423
13015,244153,849,371
13045,241769,851,4860
13055,244175,854,355
13058,244176,861,245
13076,244181,873,280
13077,244182,875,2427
13080,244183,882,3495
13095,244193,917,3220
13110,242199,919,604
13147,244216,921,605
13148,244217,935,4669
13165,244230,937,2983
13169,242992,956,3124
13177,244236,968,435
13179,244238,981,2324
13128,244205,1003,3967
13135,244209,1027,483
13138,244212,1028,45
13144,244215,1038,1663
13191,244242,1046,546
13224,241749,1054,34
13239,242299,1067,1675
13249,244273,1071,511
13253,244277,1083,528
13258,244283,1090,1693
13263,243159,1098,3097
13266,244290,1107,4410
13268,233618,1116,4152
13270,244291,1131,3374
13285,244298,1185,186
13289,244300,1235,3472
13292,244302,1241,3731
13293,244303,1279,3741
13296,244304,1280,4620
13298,244305,1293,32
13304,244308,1294,2024
13309,244309,1299,324
13315,244314,1302,3021
13316,244315,1305,1208
13200,242651,1321,3440
13202,244248,1328,2589
13217,244253,1347,4222
13372,244352,1355,3753
13376,244354,1357,3970
13392,244366,1375,417
13397,244373,1401,1637
13405,244381,1412,1674
13420,244386,1415,5022
13424,243004,1419,3820
13440,244392,1431,4135
13452,244401,1440,1700
13454,244406,1441,302
13458,244408,1443,1878
13459,244410,1461,3419
13464,244414,1462,3598
13465,244416,1463,2473
13466,244417,1465,3787
13468,244422,1471,3865
13473,244424,1489,216
13474,244425,1495,2855
13478,244427,1528,424
13479,244430,1529,3319
13496,244435,1539,4643
13498,244436,1557,1834
13531,244466,1596,306
13548,244477,1668,362
13550,244478,1672,3727
13552,244479,1679,477
13553,244480,1682,3542
13554,244481,1727,3273
13555,244482,1848,3363
13559,244483,1850,4757
13560,244485,1859,2176
13561,244500,1873,3153
13562,244501,1900,298
13563,240087,1917,3276
13564,244502,1957,584
13568,244507,1963,4719
13570,244509,2018,4181
13572,235111,2033,30
13507,244438,2043,2723
13512,244440,2059,4650
13513,244441,2064,4282
13514,244442,2078,4431
13517,244445,2093,4320
13518,244446,2120,2607
13521,244451,2209,571
13592,244522,2213,525
13593,242054,2274,215
13596,244524,2299,4685
13597,244525,2338,279
13598,244526,2340,3879
13599,237649,2385,3464
13600,244528,2398,2043
13609,244531,2406,3151
13610,244532,2414,3043
13611,244533,2424,3206
13612,244535,2471,507
13614,244536,2522,1687
13618,244537,2533,4478
13626,244553,2563,78
13627,242290,2566,260
13630,244558,2609,3096
13640,244562,2637,246
13642,244564,2661,4473
13647,244568,2699,3063
13650,244569,2736,3937
13654,236728,2771,259
13659,244571,2776,2921
13661,244573,2779,1667
13666,244575,2814,3900
13670,244578,2833,3662
13680,244581,2869,3006
13689,244587,2915,2353
13697,244592,2928,365
13701,244595,2932,4848
13704,244596,2967,1665
13705,244597,2979,4134
13708,244599,2984,554
13715,244609,2994,5027
13717,244610,3008,4856
13720,244617,3074,449
13723,244619,3081,3510
13728,243832,3095,567
13731,244631,3135,3517
13733,244632,3164,4523
13738,235572,3194,2157
13743,244635,3200,4097
13745,244636,3201,3971
13746,244637,3202,406
13751,244639,3234,3309
13753,244640,3237,688
13762,244646,3250,337
13765,240259,3292,4020
13766,244649,3330,44
13778,239362,3355,3310
13815,244676,3365,3744
13831,244688,3372,572
13835,241858,3423,3965
13841,244693,3425,4580
13846,244698,3437,53
13855,244703,3444,504
13858,238526,3516,4847
13863,244706,3520,4399
13866,244711,3526,3687
13871,244715,3535,4013
13874,244717,3550,3326
13914,244769,3572,229
13925,244774,3575,1795
13935,244782,3617,2971
13944,239354,3687,4838
13945,244787,3707,4119
13946,239574,3715,2976
13955,239854,3726,2432
13961,244799,3759,5017
14030,236621,3760,2799
13886,244736,3791,1642
13897,244746,3796,1937
10449,232892,3804,4470
9495,236032,3823,3678
7128,233624,3854,1375
1741,236179,3868,4044
10813,232701,3875,4045
10314,232787,3897,3931
11320,236513,3902,1649
1988,237868,3921,3544
1656,237954,3932,3060
11377,235025,3943,2107
12743,244001,3945,2282
2834,238998,3956,4481
2343,238306,3980,3941
11537,236491,4048,3135
7759,242431,4098,268
7722,242545,4099,3126
3113,238617,4138,3640
1913,237851,4144,3036
12124,243589,4161,3648
9321,231507,5176,197
9842,232493,5180,303
11349,237494,5188,4309
8460,230822,5189,2580
582,3290,5204,3465
11007,234162,5208,452
3830,235045,5229,2189
4086,239566,5245,2563
4850,237129,5261,2691
4800,239966,5272,3345
7389,242274,5303,5034
1346,236068,5324,2741
8434,242971,5334,4176
10235,232300,5335,3936
5737,240913,5354,2428
1903,237864,5372,3701
1640,237890,5387,2620
9641,232176,5453,4965
1910,237880,5461,3089
7498,242260,5462,707
3998,236235,5463,2629
11262,233799,5472,4204
9378,231818,5473,2338
1733,235960,5474,3688
6674,241492,5479,590
12058,243507,5503,171
2344,238307,5506,243
11649,243092,5532,2942
12574,232795,5546,2436
9922,231461,5594,2011
10401,232383,5631,2342
11420,233336,5643,14
6682,240253,5666,1724
6860,241472,5674,4233
4968,233047,5677,3281
7553,234335,5690,403
1473,236782,5698,3979
10475,233223,5738,15
9739,232357,5739,3729
7907,242469,5763,240
2175,238174,5796,1811
4840,240028,5821,3157
9957,232090,5856,2245
3557,239145,5857,4964
12207,243647,5858,3966
11514,236476,5929,192
11549,236734,5946,3509
11331,236190,5948,3436
2660,238612,5959,28
7458,242111,5974,3164
12471,243753,5997,544
10959,232789,6004,3984
7351,242225,6020,1871
4229,239457,6023,366
1455,236770,6044,3443
2615,238550,6068,429
7213,235683,6096,2330
12563,243913,6114,2444
9780,232072,6131,404
10042,234788,6143,2007
8681,231280,6149,3683
2364,238420,6152,2946
3773,231957,6169,3136
10130,232622,6173,3295
3435,238855,6189,187
4001,236302,6195,3093
12933,244112,6230,3192
8715,231810,6241,3647
10320,232953,6251,217
10309,232730,6254,4744
10863,233141,6275,2876
11386,235168,6282,2650
8217,242505,6308,3065
3911,237030,6319,3012
3792,234515,6320,3195
8461,230863,6330,4463
10007,236664,6332,591
9397,231884,6341,4122
10906,233703,6347,1959
13488,244431,6364,4008
7164,241892,6367,4338
4027,239461,6403,3231
9964,235177,6407,3617
3572,235447,6429,2717
3825,234956,6440,4781
7053,241708,6444,3071
6291,241227,6460,4246
6249,241102,6466,689
10701,233598,6493,3762
9544,231660,6527,4768
1575,235846,6529,3856
3355,239088,6537,1826
1931,237948,6544,4266
2112,238001,6585,618
7696,235677,6621,2056
3963,234247,6633,59
4220,235490,6641,3837
4810,240002,6667,4899
9320,230842,6682,4240
2128,238271,6697,2956
2002,238079,6701,461
11126,234237,6733,2931
10964,232313,6779,3916
11660,243104,6792,2069
11575,238045,6818,3062
11964,243385,6819,4477
11856,243282,6837,54
13504,244434,6862,4462
12977,244129,6866,3923
12492,243883,6869,1827
8271,242887,6903,4390
8295,242976,6926,2093
8300,242789,6928,548
10587,233402,6943,4053
10456,232762,6951,299
10380,236893,6969,4297
10833,233034,6999,2885
10017,235795,7012,607
10018,235856,7015,3481
10160,232719,7030,2191
2009,238093,7032,3294
2314,238186,7076,3271
3298,238763,7112,610
3247,238707,7125,2429
2702,238796,7126,4042
2827,238983,7127,4837
1597,237882,7129,2963
878,234599,7143,4960
4183,239716,7168,4083
4184,239717,7172,4172
4327,239521,7177,3703
4017,239386,7186,4564
4104,239591,7194,3704
4980,233180,7199,4753
5014,240008,7201,4607
5853,233302,7210,4834
7792,242552,7238,4610
7172,241920,7249,3286
5417,240495,7253,3048
5430,240193,7258,4364
2342,238204,7284,3549
4973,232770,7410,3912
12615,243947,7419,3699
11570,237936,7444,1686
11384,235186,7447,3595
10148,232963,7467,3147
10354,236007,7483,1636
10836,232699,7491,1934
10692,233460,7513,11
8268,242743,7520,2048
7843,242448,7559,3961
3922,238692,7561,3812
3893,235994,7562,2376
6987,241984,7569,489
7109,234588,7571,405
3408,239191,7585,1946
2160,238342,7591,1680
1231,236140,7592,4382
7334,242183,7595,409
3758,238418,7598,3784
8188,242667,7601,4015
8283,242946,7603,3642
10970,233446,7614,1835
11820,243263,7621,4388
1626,237229,7622,3341
2694,238732,7623,3581
7807,242575,7626,4413
6255,241163,7628,1708
7134,233881,7629,3169
6747,241830,7630,3367
6318,241273,7632,4073
5903,241085,7635,202
2681,238685,7638,3250
7054,241709,7640,3830
6606,241270,7642,3868
7822,231247,7644,4267
6085,239953,7646,90
3304,238787,7648,6
1527,236696,7652,3084
11301,233563,7657,3847
10824,233173,7658,3968
10258,232410,7661,46
10174,232086,7666,2375
10444,232602,7667,3583
10293,232594,7668,1950
9360,231389,7670,3942
7284,241974,7672,3670
4730,239845,7677,1798
2005,238090,7678,455
10643,233129,7679,3318
5029,240170,7680,156
9711,231832,7684,4578
4760,239880,7685,652
3521,233471,7688,3689
7194,241954,7691,4156
7698,242482,7693,2675
5745,240740,7704,2981
9588,232174,7716,4155
8249,242699,7717,4158
10039,237156,7725,4842
4077,239555,7727,1910
4666,239599,7734,3571
4332,239529,7738,1860
4085,239565,7743,4447
3941,239284,7747,2401
5578,240247,7748,3003
7769,242440,7753,4117
