ApvDescFam,apvProfesion
PAPAS,NI
ESPOSO(A),HOGAR
HIJO(A),EMPLEADA
HERMANO(A),EMPLEADO
ABUELO(A),ESTUDIANTE
,COMERCIANTE
,JUBILADO
,PROMOTOR
,ENFERMERA
,MESERO
,MEDICO CIRUJANO
,EDUCADORA
,LIC. ADMINISTRACION DE EMPRESAS
,OTRO
,DISEÑADOR
,VENDEDOR
,PENSIONADO
,TECNICO 
,CONSULTOR
,EMPRESARIO
,DIRECTOR
,ADMINISTRADOR
,FOTOGRAFO
,PSICOLOGO
,PROFSOR 
,CHOFER
,ALBAÑIL
,CARPINTERO
,ENTRENADOR
,CONTADOR PUBLICO
,COORDINADOR
,LABORATORISTA
,INGENIERO
,MEDICO
,PROFELSOR
,PROFESOR
,MECANICO
,MEDICO PEDIATRA
,CIRUJANO DENTISTA
,ABOGADO
,AGRICULTOR
,LIC. EN ENFERMERIA
,LIC. EN EDUCACION
,EMPLEDA
,ING. CIVIL
,COMUNICOLOGA
,JARDINERO
,COCINERO
,EJECUTIVO
,SUPERVISOR
,ING.CIVIL
,ODONTOLOGA
,LIC. RELACIONES INTERNACIONALES
,SECRETARIA
,CHEF
,QUIMICO
,LICENCIADO
,ING. INDUSTRIAL
,OBRERO
,ING. QUIMICO
,VIGILANCIA
,CONTADOR
,AUDITOR
,ING. AGRONOMO
,ENFERMERO
,GERENTE
,LIC. INFORMATICA
,MUSICO
,SERVIDOR PUBLICO
,CAJERO(A)
,LIC.MERCADOTEC.INTERN.
,DISENADOR
,ING. SISTEMAS
,MILITAR
,ABOGADA
,CAJERA
,
,LIC.ADMON 
,MERCADOLOGO
,ASISTENTE
,LIC. DISEÑO GRAFICO
,ARQUITECTO
,ASISTENTE BILINGUE
,ING. EN COMPUTACION
,ELECTRICISTA
,HERRERO
,ESTIDIANTE
,MEDICO ORTODONCISTA
,QUIMICO FARMACOB.
,MEDICO VETERINARIO Z
,NUTRIOLOGO
,ASESOR
,AGENTE DE SEGURIDAD
,LIC. CONTADOR PUBLICO
,AUXILIAR CONTABLE
,PILOTO AVIADOR
,TECNICO ELECTRICISTA
,GESTOR
,TECNICO EN MANTENIMIENTO
,PUBLICISTA
,ING. ELECTRICISTA
,LIC. EN ADMON.
,CAPTURISTA DE DATOS
,ALMACENISTA
,INTENDENCIA
,DIETISTA
,DISEÑO GRAFICO
,RECEPCIONI
,RADIOLOGO
