NÓMINA,PSICOMETRIA,RHVCODDEP,LOCALIDAD,DATE_DIFF,GRADO_COM,GRADO_DT ,GRADO_LET,GRADO_LP ,GRADO_LT ,GRADO_ME ,GRADO_MG ,GRADO_MP ,GRADO_MT ,GRADO_NE ,GRADO_PA ,GRADO_PRE,GRADO_T  ,SEXO_F,SEXO_M,ESTADO_CIVIL_C,ESTADO_CIVIL_D,ESTADO_CIVIL_S,ESTADO_CIVIL_U,ESTADO_CIVIL_V,RELIGION_CATOLICA,RELIGION_CRISTIANA,RELIGION_NI,FAM_FACT,FAM_PROF,FAM_FACT_PROF,DIAS_EXP,MONTH_EXP,INGLES,OTROS_IDIOMAS
531926,83.2,0.0,1,-44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6,0,9.0,0,0,0,0
531988,97.1,0.0,2,442,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,0,5.0,0,0,0,0
532138,96.3,0.0,2,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,23,0,15.0,0,0,0,0
532231,88.7,0.0,6,-87,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,8,0,16.0,0,0,0,0
532705,90.10000000000001,0.0,1,-172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,15,0,7.0,0,0,0,0
533010,97.2,0.0,1,430,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,7,0,8.0,0,0,0,0
533254,93.5,46.0,6,2730,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,7,0,9.0,0,0,0,0
533285,91.10000000000001,132.0,6,2730,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7,0,7.0,0,0,0,0
533319,85.0,182.0,6,2730,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7,0,8.0,0,0,0,0
533931,88.7,105.0,6,2700,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,17,0,15.0,0,0,80,0
534064,97.89999999999999,0.0,1,-157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8,0,7.0,1096,0,80,0
534301,94.7,0.0,1,-61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,21,0,8.0,762,0,80,0
535379,94.69999999999999,0.0,1,170,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,7,0,8.0,0,0,80,0
535740,88.9,0.0,1,134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8,0,16.0,0,0,80,0
536811,82.45,0.0,1,1618,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,20,0,8.0,5844,0,80,0
536907,96.2,0.0,2,1446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8,0,12.0,0,0,80,0
537377,91.2,0.0,3,214,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,21,0,6.0,1826,0,80,0
537487,0,0.0,1,49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,0,8.0,366,0,80,0
538424,98.8,0.0,1,361,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,16,0,4.0,2922,0,80,0
539320,77.10000000000001,0.0,1,806,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,13,0,7.0,1096,0,80,0
539399,89.03,0.0,1,321,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,0,3.0,2922,0,80,0
539681,95.39999999999999,0.0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,25,0,15.0,9018,0,80,0
539980,78.7,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,0,8.0,0,0,80,0
539997,96.6,0.0,1,615,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,0,4.0,365,0,80,0
540450,89.9,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6,0,4.0,0,0,80,0
540591,88.3,0.0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,0,8.0,6575,0,80,0
540931,0,182.0,6,2579,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6,0,3.0,1096,0,80,0
541002,0,0.0,1,1491,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,0,8.0,0,0,85,0
541466,86.28,0.0,1,1444,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,0,7.0,2220,0,85,0
541734,81.89999999999999,0.0,2,928,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,15,0,8.0,0,0,85,0
543031,67.0,182.0,6,2585,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0.0,0,0,85,0
