NÓMINA,apvCurso,apvFecIni,apvFecTer,apvPlantel,apvPromedio,apvTitulo,TERMINADO
537377,,1999-10-08,2001-10-08,N/I,0.0,Certificado,NO
553241,TECNICO EN INDUSTRIAS ELECTRONICAS,,,N/I,0.0,Diploma,SI
4658908,CULTURA FISICA  Y DEPORTES,2014-06-26,2018-06-26,UNIVERDIDAD DE GUADALAJARA,0.0,Pasante,SI
545383,,2006-12-15,2009-12-15,UNIVERDIDAD DE GUADALAJARA,0.0,Certificado,SI
546997,MERCADOTECNIA,2005-09-05,2009-12-16,UNIVERDIDAD DE GUADALAJARA,0.0,Constancia,SI
550433,ING EN COMPUTACION,1991-01-16,1995-01-16,UNIVERDIDAD DE GUADALAJARA,0.0,Titulo,SI
547477,MAESTRIA EN ADMINSITRACION ,2014-10-28,2014-10-31,UNIVERDIDAD DE GUADALAJARA,0.0,Acta Titulo,SI
547635,LIC.MEDICO CIRUJANO,2003-03-14,2009-03-14,UNIVERDIDAD DE GUADALAJARA,0.0,Titulo,NO
538503,,,,SEC.MIXTA NO. 1,7.9,Certificado,NO
536495,SOPORTE VITAL BASICO (BLS/SVB),2014-11-22,2014-11-23,UAG ODONTOLOGIA,0.0,Diploma,SI
536983,SOPORTE VITAL BASICO (BLS/SVB),2014-11-22,2014-11-23,UAG ODONTOLOGIA,0.0,Constancia,SI
538194, CERTIFICADO,2007-09-27,2010-09-27,UDG,0.0,Certificado,SI
539265,"LIC, EN PSICOLOGIA",2013-08-11,2013-08-13,UDG,0.0,Titulo,SI
539186,,2001-08-01,2006-07-31,UDG,0.0,Titulo,SI
539179,LIC. EN ENFERMERIA,2016-03-14,2016-03-16,UDG,0.0,Titulo,SI
559874,LIC. EN ING. AGRONOMO,2015-03-12,2016-03-14,UDG,0.0,Titulo,NO
550062,LIC. EN TURISMO,2016-03-14,2016-03-16,UDG,0.0,N/I,SI
561130,LIC. CONTADOR PUBLICIO,2016-03-14,2016-03-16,UDG,0.0,Titulo,SI
