nomina,experiencia,disciplina,empatia,liderazgo,seguridad,habilidad_tecnologica,habilidad_pedagogica,vocacion,relaciones_inter,curiosidad,normal_D,normal_I,normal_S,normal_C,motivacion_D,motivacion_I,motivacion_S,motivacion_C,presion_D,presion_I,presion_S,presion_C,Decision
800000,medio_alto,medio,medio_bajo,medio_alto,medio_bajo,alto,medio_bajo,medio_alto,medio,medio_bajo,30,30,70,70,75,85,34,33,80,54,64,15,No
800001,bajo,alto,medio_alto,medio,medio_alto,medio,alto,medio_alto,medio_bajo,medio_bajo,67,70,67,70,15,55,60,78,15,56,33,52,Yes
800002,medio_alto,bajo,bajo,medio_bajo,alto,medio_alto,alto,alto,medio,medio_bajo,70,30,43,69,85,67,85,39,85,15,70,74,Yes
800003,medio,medio_bajo,medio_bajo,bajo,medio_alto,bajo,medio_alto,bajo,medio,medio,56,70,70,38,58,67,22,81,15,85,17,85,Yes
800004,medio,medio_bajo,alto,bajo,bajo,alto,medio_bajo,medio_alto,alto,bajo,30,62,64,70,27,15,85,62,85,36,99,57,Yes
800005,alto,medio_alto,bajo,alto,bajo,medio_alto,medio,medio_alto,medio,medio,70,58,56,34,28,15,85,15,85,78,75,78,Yes
800006,medio_bajo,medio_alto,medio_alto,medio_alto,medio,alto,medio,medio_alto,medio,medio_alto,70,70,52,30,85,48,19,67,61,15,62,85,Yes
800007,medio_bajo,medio_alto,medio_bajo,bajo,medio_alto,medio_bajo,medio,alto,alto,alto,63,30,30,30,20,85,70,19,15,38,42,47,Yes
800008,medio_bajo,medio_bajo,bajo,alto,medio_bajo,medio_alto,medio_alto,medio,medio_bajo,bajo,70,61,70,30,15,58,85,85,85,25,70,34,Yes
800009,alto,medio_alto,alto,medio_bajo,bajo,medio_alto,medio_bajo,bajo,alto,medio_bajo,70,33,70,35,84,85,29,25,85,59,84,51,Yes
800010,alto,medio,medio_bajo,medio_bajo,medio_bajo,medio_bajo,bajo,medio_bajo,medio_bajo,medio,30,68,60,70,69,67,15,78,85,68,16,34,Yes
800011,bajo,medio,medio_bajo,medio_alto,medio_alto,medio,bajo,alto,bajo,medio,42,30,48,54,56,15,85,18,62,15,40,15,Yes
800012,bajo,bajo,alto,medio,alto,alto,bajo,bajo,alto,medio_bajo,47,67,34,70,61,28,85,84,44,25,39,22,Yes
800013,medio_bajo,medio_bajo,alto,medio,alto,medio_bajo,bajo,alto,medio_bajo,medio_bajo,36,70,70,37,48,16,15,85,66,65,76,50,No
800014,bajo,medio_alto,medio,medio,medio,medio,alto,alto,bajo,medio_bajo,70,30,70,30,69,63,85,15,55,73,27,24,Yes
800015,medio_bajo,medio_bajo,medio_alto,alto,alto,medio_bajo,alto,medio,alto,bajo,70,70,30,30,85,85,85,22,54,85,67,85,Yes
800016,medio,medio_alto,medio_bajo,medio_alto,medio_bajo,bajo,medio_bajo,bajo,medio_bajo,alto,30,70,70,30,42,85,59,73,17,32,27,35,No
800017,bajo,medio_alto,alto,medio_bajo,medio_bajo,medio_bajo,medio,medio_alto,medio,medio_bajo,70,70,46,30,85,62,83,15,43,15,65,85,Yes
800018,medio,medio_alto,medio_alto,medio_bajo,bajo,medio,medio_bajo,medio_bajo,medio_bajo,medio_alto,59,30,67,66,85,85,28,15,15,15,78,85,No
800019,alto,medio_bajo,medio_alto,medio,bajo,medio,alto,medio_alto,medio_bajo,bajo,69,30,63,30,47,49,81,80,21,15,7,21,Yes
800020,medio,medio_alto,medio_alto,medio,alto,bajo,bajo,medio,medio_bajo,alto,62,30,30,30,73,46,37,75,85,19,82,56,No
800021,medio_alto,alto,bajo,bajo,alto,medio_bajo,medio_bajo,medio_alto,medio_alto,bajo,70,56,70,70,44,54,76,66,27,85,2,15,Yes
800022,medio,bajo,medio_alto,bajo,medio_alto,medio_bajo,medio_bajo,bajo,alto,medio_alto,70,30,31,70,77,52,69,75,59,15,18,85,No
