nomina,experiencia,disciplina,empatia,liderazgo,seguridad,habilidad_tecnologica,habilidad_pedagogica,vocacion,relaciones_inter,curiosidad,paciencia,normal_D,normal_I,normal_S,normal_C,motivacion_D,motivacion_I,motivacion_S,motivacion_C,presion_D,presion_I,presion_S,presion_C,Decision
800000,medio,medio,medio_bajo,alto,medio_bajo,bajo,medio_bajo,bajo,bajo,medio_bajo,medio_bajo,70,70,70,43,29,80,85,46,15,15,81,45,No
800001,medio_alto,alto,medio_bajo,medio_bajo,medio_alto,bajo,medio,alto,alto,medio_alto,medio_bajo,70,30,70,30,59,54,15,85,49,19,24,57,No
800002,medio,bajo,medio,bajo,medio_alto,medio_alto,medio_bajo,alto,medio_bajo,medio_bajo,medio,30,70,70,32,25,35,22,75,66,15,80,59,No
800003,medio_alto,bajo,medio_alto,medio_alto,bajo,medio,alto,alto,medio,medio,medio,58,70,41,70,75,77,32,68,67,15,56,15,Yes
800004,medio,medio_alto,medio_bajo,medio,bajo,bajo,medio_bajo,medio_bajo,medio,bajo,medio_bajo,44,60,35,51,71,23,71,31,81,46,92,85,No
800005,medio,bajo,bajo,bajo,alto,medio,medio,alto,medio,medio,medio_bajo,68,61,30,47,63,74,35,71,85,18,31,15,Yes
800006,alto,medio,alto,medio,medio_alto,medio,alto,medio_bajo,alto,medio,alto,30,38,30,30,50,81,52,15,15,85,50,15,No
800007,alto,bajo,medio_bajo,medio_alto,medio_bajo,alto,bajo,medio_alto,alto,medio_alto,alto,70,46,30,60,15,15,51,70,15,60,11,34,Yes
800008,bajo,alto,medio_alto,medio,alto,medio,medio_alto,medio_bajo,medio_alto,medio,alto,61,30,70,37,23,25,22,20,15,74,56,17,No
800009,medio,medio_alto,alto,alto,medio_bajo,medio,bajo,alto,medio_bajo,bajo,medio_bajo,30,30,70,70,50,63,74,33,60,85,35,33,Yes
800010,medio_bajo,medio,alto,medio_bajo,medio,medio_bajo,medio,medio_bajo,medio_alto,medio_alto,medio,70,31,58,65,15,85,37,17,43,85,19,39,No
800011,medio_alto,alto,bajo,alto,medio_bajo,bajo,alto,medio_alto,medio_bajo,bajo,medio_bajo,70,70,30,30,47,68,15,85,76,49,54,62,Yes
800012,medio,medio,alto,medio_alto,bajo,medio_bajo,medio,bajo,alto,medio,medio_bajo,70,67,70,70,15,26,23,68,50,70,3,47,No
800013,medio,medio_alto,bajo,medio_bajo,bajo,medio,medio_alto,bajo,alto,medio_bajo,medio_alto,42,70,30,66,85,30,29,31,15,85,3,60,Yes
800014,medio_bajo,alto,bajo,medio_alto,bajo,medio,medio_alto,medio_alto,medio_bajo,medio_alto,medio_bajo,32,67,70,70,15,66,53,43,70,15,45,28,No
800015,medio_bajo,medio_bajo,bajo,medio_alto,bajo,medio_alto,alto,medio_bajo,alto,medio,medio_alto,38,70,55,30,43,50,80,44,47,74,10,26,Yes
800016,medio,medio,medio_bajo,bajo,medio_bajo,bajo,medio_bajo,medio,alto,medio_bajo,medio_bajo,61,70,70,44,42,55,15,53,66,37,60,49,No
800017,medio,medio_alto,bajo,alto,bajo,medio_alto,medio_bajo,medio_bajo,medio_bajo,medio_bajo,alto,70,70,35,35,38,49,39,85,15,15,60,59,No
800018,medio,medio_alto,medio_alto,medio,medio_alto,alto,medio,medio_alto,medio_alto,medio_alto,medio_alto,30,70,30,30,82,15,83,15,19,15,95,47,Yes
800019,medio_bajo,medio_bajo,medio_bajo,bajo,medio,medio,bajo,alto,medio,medio_bajo,medio,70,51,46,68,31,17,53,25,60,81,77,83,No
800020,medio_bajo,alto,alto,medio_bajo,medio,medio_bajo,alto,medio,medio_alto,medio,medio_bajo,53,70,70,70,85,84,85,15,15,85,11,35,Yes
800021,medio,alto,bajo,medio_alto,medio,medio_alto,medio_bajo,alto,medio,medio_alto,medio,41,34,30,56,85,21,33,22,15,85,50,46,Yes
800022,bajo,alto,alto,alto,medio,medio_alto,medio_bajo,bajo,alto,medio,bajo,68,54,30,70,78,62,15,15,54,44,60,56,Yes
800023,medio,medio_alto,medio_alto,medio_alto,alto,medio_alto,bajo,alto,medio_alto,alto,alto,45,62,30,70,38,15,85,29,59,60,16,30,No
800024,alto,bajo,bajo,medio,medio_alto,medio_alto,medio,bajo,medio_bajo,medio_alto,medio_bajo,51,45,37,70,26,15,15,53,85,43,79,32,Yes
800025,medio,medio_alto,medio_bajo,bajo,medio,medio_alto,medio_bajo,bajo,alto,alto,bajo,70,70,64,70,74,84,75,15,15,65,89,57,No
800026,medio_bajo,bajo,medio_bajo,medio,medio,bajo,medio_alto,bajo,medio,medio,bajo,70,53,70,63,85,82,71,19,52,76,89,23,Yes
800027,bajo,medio,medio,bajo,medio_bajo,alto,bajo,alto,medio_bajo,medio_alto,medio_alto,70,70,46,54,23,30,73,51,82,70,55,58,Yes
800028,alto,bajo,bajo,bajo,alto,medio_bajo,alto,medio_bajo,medio_alto,medio_alto,alto,30,30,70,45,85,68,85,38,85,35,59,35,No
800029,medio_alto,medio_bajo,medio_alto,medio,alto,medio_alto,alto,medio,medio_alto,alto,medio_alto,30,70,44,57,18,27,78,70,28,25,94,85,No
800030,medio,alto,medio,bajo,medio_bajo,medio_bajo,medio_alto,medio_alto,alto,alto,medio_alto,31,56,30,70,83,57,15,27,85,59,3,72,Yes
800031,medio,medio,medio_alto,alto,bajo,bajo,medio_alto,medio_alto,medio_bajo,alto,bajo,68,30,43,30,84,85,36,85,85,56,62,77,Yes
800032,medio,medio_bajo,alto,medio_bajo,medio_alto,medio_bajo,alto,medio,alto,bajo,medio_bajo,70,30,58,70,34,83,15,80,85,83,78,31,No
800033,medio,medio_bajo,alto,medio_bajo,medio_bajo,medio_bajo,bajo,medio_bajo,medio_bajo,alto,bajo,70,70,70,30,51,85,18,51,85,85,4,16,Yes
800034,medio_alto,bajo,medio_bajo,alto,medio_bajo,medio,medio_bajo,medio_alto,medio_bajo,medio,medio_alto,70,70,56,30,72,85,77,29,79,76,54,50,Yes
800035,medio_bajo,alto,medio_alto,medio_bajo,medio_bajo,alto,alto,medio_bajo,medio_bajo,alto,medio_bajo,39,30,70,42,75,25,22,79,54,15,29,45,Yes
800036,medio_bajo,medio_bajo,medio_bajo,medio,medio_bajo,medio,medio,bajo,medio_alto,alto,medio_bajo,30,65,30,70,54,53,34,50,15,46,36,28,Yes
800037,bajo,medio,alto,medio,bajo,medio_alto,medio_alto,medio,medio,medio,bajo,70,30,70,30,40,42,70,62,17,18,14,21,Yes
800038,bajo,medio_alto,medio_alto,medio_alto,medio_alto,medio_bajo,medio,medio,medio_alto,medio,medio_bajo,30,70,30,30,40,74,85,59,35,83,20,25,Yes
800039,medio_alto,medio,medio,bajo,medio_bajo,medio,medio_bajo,medio_bajo,alto,medio_alto,medio_bajo,30,70,58,30,50,18,30,83,37,15,16,85,Yes
800040,medio_alto,alto,bajo,alto,medio_alto,medio_bajo,medio_alto,alto,bajo,bajo,medio_bajo,70,30,51,37,85,29,58,15,15,42,19,65,No
800041,bajo,medio_alto,medio_bajo,medio,medio_bajo,medio_alto,medio_alto,medio_bajo,medio_bajo,alto,medio_bajo,30,70,65,70,33,31,85,56,29,85,23,83,Yes
800042,medio,medio_alto,bajo,bajo,medio_alto,medio_bajo,medio_bajo,bajo,medio_alto,medio,medio,50,70,30,52,46,15,45,20,44,15,45,50,No
800043,medio_alto,medio,medio_bajo,bajo,medio_bajo,medio_bajo,medio_bajo,medio_bajo,alto,medio_alto,medio_bajo,65,70,56,54,85,63,55,15,37,24,2,22,Yes
